id,Title,Sports,school
35285,"Terry Baumgartner","Men>Men's Baseball",35284
35287,"Frank Avilla","Men>Men's Baseball",35286
35289,"Brad Morgan","Men>Men's Baseball",35288
35291,"Brad Rupert","Men>Men's Baseball",35290
35293,"Nick Thielman","Men>Men's Baseball",35292
35295,"Larry Owens","Men>Men's Baseball|Men>Men's Football",34973
35297,"Scott Nasby","Men>Men's Baseball",35296
35299,"Chris Ramirez","Men>Men's Baseball",35298
35301,"Gary Vaught","Men>Men's Baseball",35300
35303,"Tim McDonough","Men>Men's Baseball",35302
35305,"Bryan Niedbalski","Men>Men's Baseball",35304
35307,"Danny Jackson","Men>Men's Baseball",35306
35309,"Todd DeGraffenreid","Men>Men's Baseball",35308
35311,"Jim Brady","Men>Men's Baseball",35310
35313,"Josh Rabe","Men>Men's Baseball",35312
35315,"Tracy Archuleta","Men>Men's Baseball",35314
35317,"Dan Davis","Men>Men's Baseball|Women>Women's Basketball",35406
35319,"Mike Stockton","Men>Men's Baseball",35318
35321,"Daniel Esposito","Men>Men's Baseball",35320
35323,"Matt Yurish","Men>Men's Baseball",35322
35325,"Mike Manes","Men>Men's Baseball",35324
35327,"Mason Heyne","Men>Men's Baseball",35326
35329,"Stephen Parrill","Men>Men's Baseball",35328
35331,"Eric Theisen","Men>Men's Baseball",35330
35333,"Todd Lillpop","Men>Men's Baseball",35332
35335,"Cameron Castro","Men>Men's Baseball",35334
35337,"Tom Crank","Men>Men's Baseball",35336
35339,"Christopher Antonides","Men>Men's Baseball",35338
35341,"Ryan Schmalz","Men>Men's Baseball",35340
35343,"Tim Mead","Men>Men's Baseball",35342
35345,"Brian Leighton","Men>Men's Baseball",35344
35347,"Dan Briand","Men>Men's Baseball",35346
35349,"John LaRose","Men>Men's Baseball|Men>Men's Tennis",36043
35351,"Greg Harjula","Men>Men's Baseball",35350
35353,"Frank Pecora","Men>Men's Baseball",35352
35355,"Anthony Perry","Men>Men's Baseball",35354
35357,"Anthony Del Prete","Men>Men's Baseball",35356
35359,"Desi Storey","Men>Men's Baseball",35358
35361,"Rob Vance","Men>Men's Baseball",35360
35363,"Aaron Sutton","Men>Men's Baseball",35362
35365,"Rocke Musgraves","Men>Men's Baseball",35364
35367,"Ken Garland","Men>Men's Baseball",35366
35369,"Kellen Walker","Men>Men's Baseball",35368
35371,"Boyd Pitkin","Men>Men's Baseball",35370
35373,"Ryan Dupic","Men>Men's Baseball",35372
35375,"John Greicar","Men>Men's Baseball",35374
35377,"Josh Oltmans","Men>Men's Baseball",35376
35379,"Jeff Schouten","Men>Men's Baseball",35378
35381,"Steve Spongberg","Men>Men's Baseball",35380
